date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:22	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22683f6c53-239b%22	https://codewithsadee.github.io/robots.txt		(from )
14:23:22	33576/33576	---M-Z	200	added ('OK')	text/html	etag:W/%2264f0727e-8328%22	https://codewithsadee.github.io/vcard-personal-portfolio/	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/index.html	(from )
14:23:23	14266/14266	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2264f0727e-37ba%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo.ico	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo.ico	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:23	30738/30738	---M-Z	200	added ('OK')	text/css	etag:W/%2264f0727e-7812%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/css/style.css	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/css/style.css	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:23	9020/9020	---M--	200	added ('OK')	image/png	etag:%2264f0727e-233c%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/my-avatar.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/my-avatar.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:23	8516/8516	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2264f0727e-2144%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-design.svg	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-design.svg	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:24	10106/10106	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2264f0727e-277a%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-dev.svg	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-dev.svg	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:24	2845/2845	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2264f0727e-b1d%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-app.svg	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-app.svg	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:24	7982/7982	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2264f0727e-1f2e%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-photo.svg	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-photo.svg	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:24	3150/3150	---M--	200	added ('OK')	image/png	etag:%2264f0727e-c4e%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/avatar-1.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/avatar-1.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:24	3737/3737	---M--	200	added ('OK')	image/png	etag:%2264f0727e-e99%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/avatar-2.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/avatar-2.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:25	3234/3234	---M--	200	added ('OK')	image/png	etag:%2264f0727e-ca2%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/avatar-3.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/avatar-3.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:25	3315/3315	---M--	200	added ('OK')	image/png	etag:%2264f0727e-cf3%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/avatar-4.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/avatar-4.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:25	1164/1164	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2264f0727e-48c%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-quote.svg	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/icon-quote.svg	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:25	5481/5481	---M--	200	added ('OK')	image/png	etag:%2264f0727e-1569%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-1-color.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-1-color.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:25	3951/3951	---M--	200	added ('OK')	image/png	etag:%2264f0727e-f6f%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-2-color.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-2-color.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:26	3393/3393	---M--	200	added ('OK')	image/png	etag:%2264f0727e-d41%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-3-color.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-3-color.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:26	3135/3135	---M--	200	added ('OK')	image/png	etag:%2264f0727e-c3f%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-4-color.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-4-color.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:26	3912/3912	---M--	200	added ('OK')	image/png	etag:%2264f0727e-f48%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-5-color.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-5-color.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:26	2896/2896	---M--	200	added ('OK')	image/png	etag:%2264f0727e-b50%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-6-color.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/logo-6-color.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:27	24729/24729	---M--	200	added ('OK')	image/jpeg	etag:%2264f0727e-6099%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/project-1.jpg	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/project-1.jpg	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:27	37544/37544	---M--	200	added ('OK')	image/png	etag:%2264f0727e-92a8%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/project-2.png	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/project-2.png	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
14:23:27	30999/30999	---M--	200	added ('OK')	image/jpeg	etag:%2264f0727e-7917%22	https://codewithsadee.github.io/vcard-personal-portfolio/assets/images/project-3.jpg	C:/My%20Web%20Sites/Krishna%20singh/codewithsadee.github.io/vcard-personal-portfolio/assets/images/project-3.jpg	(from https://codewithsadee.github.io/vcard-personal-portfolio/)
